id,loan_amount,loan_days,age,monthly_income,dti,score_raw,rating,recommendation,fraud_score,fraud_risk,binary_decision,ml_probability,target,cluster
214,3000,14,32.6,10000,0.2,426,C,Requires manual review,0,Clean,1,0.7545528115850645,1,0
215,1700,11,26.0,15000,1.0,393,C,Requires manual review,0,Clean,1,0.7627926990914553,1,0
216,600,30,37.1,6000,0.6666666666666666,408,C,Requires manual review,0,Clean,1,0.7939511605067782,1,0
217,3000,3,25.7,6000,0.375,406,C,Requires manual review,0,Clean,1,0.7544872706523312,1,0
218,2750,30,31.1,7000,0.42857142857142855,390,C,Requires manual review,3,Medium,0,0.5262239764562837,0,0
219,1000,21,22.5,11000,0.6909090909090909,382,C,Requires manual review,0,Clean,1,0.7545225139323438,1,0
220,1500,30,45.0,7500,0.8678666666666667,379,C,Requires manual review,0,Clean,1,0.7068912653120496,0,0
221,3550,30,24.2,8000,0.3125,401,C,Requires manual review,0,Clean,1,0.7144178136108505,1,0
222,1500,30,25.4,8600,0.23255813953488372,409,C,Requires manual review,1,Low,1,0.7085664121374149,0,0
223,3500,30,37.2,9000,0.3888888888888889,441,B,Conditionally approve,0,Clean,1,0.697346712115816,0,0
224,2250,7,37.0,12800,1.078125,375,C,Requires manual review,0,Clean,1,0.7545789170024888,1,0
225,4000,17,25.6,20000,1.35,364,D,Reject,0,Clean,1,0.7545076584594014,1,0
226,3000,30,40.2,10400,0.5288461538461539,410,C,Requires manual review,0,Clean,1,0.7545242943286253,1,0
227,600,16,61.9,9800,0.20408163265306123,426,C,Requires manual review,1,Low,1,0.7545197169411703,1,0
228,1800,30,32.8,6000,0.3333333333333333,418,C,Requires manual review,0,Clean,1,0.7741972091745896,1,0
229,1000,30,21.6,10000,0.4,372,C,Requires manual review,0,Clean,1,0.7586826938505444,1,0
230,3000,25,30.5,9500,0.4,419,C,Requires manual review,0,Clean,1,0.730614969073691,1,0
231,3500,30,29.9,11000,0.7727272727272727,385,C,Requires manual review,1,Low,1,0.7570814868178484,1,0
232,1000,16,35.3,7900,0.46835443037974683,407,C,Requires manual review,0,Clean,1,0.7545891282872694,1,0
233,5700,30,29.3,9000,0.35777777777777775,405,C,Requires manual review,0,Clean,1,0.7685884883424466,1,0
234,3200,20,24.6,3000,0.6,355,D,Reject,0,Clean,1,0.7432785866351516,1,0
235,3050,30,26.2,5000,0.24,408,C,Requires manual review,0,Clean,1,0.7492455194896257,1,0
236,8000,28,30.8,12000,0.5,428,C,Requires manual review,0,Clean,1,0.7545318777996721,1,0
237,2400,30,29.9,14000,0.42857142857142855,407,C,Requires manual review,0,Clean,1,0.7545636095613643,1,0
238,1500,11,28.9,6000,0.5,410,C,Requires manual review,0,Clean,1,0.7131926052551003,0,0
239,500,3,41.4,10000,0.17,432,B,Conditionally approve,0,Clean,1,0.7545376138258625,1,0
240,800,30,27.1,3000,0.5,398,C,Requires manual review,0,Clean,1,0.7545349974075798,1,0
241,600,30,22.1,8000,0.3125,391,C,Requires manual review,1,Low,1,0.7310496713709165,1,0
242,1400,12,28.6,5000,0.02,425,C,Requires manual review,0,Clean,1,0.745769841989863,0,0
243,3000,20,32.4,50000,0.076,385,C,Requires manual review,2,Low,0,0.5390475302777273,0,0
244,8000,30,41.9,7000,1.0,395,C,Requires manual review,1,Low,0,0.5371811861976089,0,0
245,1500,7,39.4,13000,0.6923076923076923,395,C,Requires manual review,0,Clean,1,0.7544593402760152,1,0
246,500,17,27.8,10000,1.0,380,C,Requires manual review,0,Clean,1,0.7711668245325152,0,0
247,500,30,30.6,8000,0.25,419,C,Requires manual review,0,Clean,1,0.7700338408997849,1,0
248,1950,30,34.6,13000,0.6153846153846154,407,C,Requires manual review,0,Clean,1,0.7463928673284738,1,0
249,2500,30,30.9,16000,0.6875,397,C,Requires manual review,0,Clean,1,0.7107869112559142,0,0
250,7500,25,44.3,8500,0.4117647058823529,402,C,Requires manual review,1,Low,1,0.7545273119844633,1,0
251,800,30,30.8,9000,0.2777777777777778,431,B,Conditionally approve,0,Clean,1,0.7672702330647365,1,0
252,1000,30,20.9,10000,0.4,367,D,Reject,0,Clean,1,0.6737780130188105,0,0
253,3000,21,26.7,13000,0.4230769230769231,396,C,Requires manual review,0,Clean,1,0.7545533073611738,1,0
254,2500,30,22.1,10000,0.77,369,D,Reject,0,Clean,1,0.7113302136516447,1,0
255,3500,30,26.5,6000,0.08333333333333333,394,C,Requires manual review,0,Clean,1,0.7545803594076864,1,0
256,900,8,25.6,8000,0.5,406,C,Requires manual review,1,Low,1,0.706866459114643,0,0
257,500,15,26.1,7700,0.7142857142857143,382,C,Requires manual review,0,Clean,1,0.7545224426216482,1,0
258,1000,26,37.5,8000,0.25,422,C,Requires manual review,0,Clean,1,0.7352551681457199,1,0
259,4000,30,42.1,32000,0.5625,374,C,Requires manual review,2,Low,1,0.7545044335276169,1,0
260,1000,12,30.3,9100,0.6153846153846154,369,D,Reject,2,Low,1,0.7545216867649535,1,0
261,1000,30,35.1,12000,0.4166666666666667,440,B,Conditionally approve,0,Clean,1,0.7476216098246384,1,0
262,1000,7,49.5,17800,0.4438202247191011,444,B,Conditionally approve,0,Clean,1,0.7553785815534857,1,0
263,1000,30,31.8,6000,1.0,369,D,Reject,0,Clean,1,0.7544965367199329,1,0
264,1000,7,46.9,9000,0.3333333333333333,435,B,Conditionally approve,0,Clean,1,0.7545580631884912,1,0
265,1000,5,36.2,12000,0.8333333333333334,381,C,Requires manual review,0,Clean,1,0.7223784488919142,0,0
266,1000,30,23.2,15000,0.4666666666666667,419,C,Requires manual review,0,Clean,1,0.7101711868725689,1,0
267,800,30,22.7,4200,0.35714285714285715,373,C,Requires manual review,0,Clean,1,0.7730860685855659,1,0
268,550,30,29.4,15000,0.5333333333333333,399,C,Requires manual review,0,Clean,1,0.754487649161548,1,0
