id,source_id,source_name,title,body,category,sentiment,published,day,hour,week_day
28,bbc,BBC News,Voters will judge Trump on the economy - how is it doing?,How much Donald Trump can do with the time he has left as president will depend massively on the cost of living.,Culture,neutral,2026-05-03T09:52:06+00:00,2026-05-03,9,Sunday
1,euronews,Euronews,"Latest news bulletin | May 3rd, 2026 – Midday","Catch up with the most important stories from around Europe and beyond this May 3rd, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",Culture,positive,2026-05-03T10:00:16+00:00,2026-05-03,10,Sunday
29,ukrinform,Ukrinform,Метеорний потік Ета-Аквариди досягне піку в ніч проти 6 травня,У ніч проти 6 травня очікується видовищне астрономічне явище – пік активності зорепаду Ета-Аквариди.,Culture,neutral,2026-05-03T10:10:00+00:00,2026-05-03,10,Sunday
2,bbc,BBC News,Nigeria summons South African envoy over attacks on its nationals,"There has been a wave of anti-migrant protests in South Africa, some of which have turned violent.",Culture,negative,2026-05-03T10:16:01+00:00,2026-05-03,10,Sunday
28,ukrinform,Ukrinform,"В Україні у понеділок очікується мінлива хмарність без опадів, вдень - до +25°","Завтра, 4 травня, в Україні прогнозується мінлива хмарність, без опадів, лише на південному сході країни вдень дощ.",War/Security,neutral,2026-05-03T10:30:00+00:00,2026-05-03,10,Sunday
27,ukrinform,Ukrinform,Перемир’я лише для проведення параду на 9 травня у Москві є абсурдом - Туск,"Перемир’я на один день, 9 травня, яке пропонує Росія, є «абсурдом», і Польща не є прихильником згоди на таку пропозицію.",Technology,neutral,2026-05-03T10:45:00+00:00,2026-05-03,10,Sunday
2,dw,Deutsche Welle,Ukrainian drones hit Russia's Primorsk oil terminal,Ukrainian President Volodymyr Zelenskyy said Kyiv also hit two of Russia's shadow fleet tankers near the Black Sea port of Novorossiysk. Two sides have continued to fire hundreds of drones at each other on a daily basis.,Culture,negative,2026-05-03T10:49:00+00:00,2026-05-03,10,Sunday
26,ukrinform,Ukrinform,В Україні спростили доступ та використання знеболювальних на фронті,"Уряд ухвалив рішення, яке спрощує бойовим медикам використання наркотичних препаратів знеболювального характеру.",Politics,neutral,2026-05-03T10:53:49+00:00,2026-05-03,10,Sunday
25,ukrinform,Ukrinform,"Росіяни атакували Кривий Ріг, є влучання у багатоповерхівку","Війська РФ атакували Кривий Ріг: є влучання у багатоповерховий будинок, виникла пожежа.",War/Security,neutral,2026-05-03T11:02:00+00:00,2026-05-03,11,Sunday
24,ukrinform,Ukrinform,Сили оборони уразили у Приморську російський носій «Калібрів» - корабель «Каракурт»,Виконувач обов'язків голови Служби безпеки України генерал-майор Євгеній Хмара доповів Президенту Володимиру Зеленському про успішне ураження ворожих обʼєктів у порту Приморськ.,War/Security,neutral,2026-05-03T11:07:00+00:00,2026-05-03,11,Sunday
23,ukrinform,Ukrinform,"Білий дім виклав відео, як Рубіо «працює» діджеєм на весіллі","Державний секретар США Марко Рубіо на цих вихідних виступив у ролі діджея, зігравши сет на сімейному весіллі.",Technology,neutral,2026-05-03T11:18:00+00:00,2026-05-03,11,Sunday
